title,uid,field_cover_image,field_alphabet_coverage,field_store_link
"Encyclopaedia Beliana, 1.zväzok",1,beliana_cover.jpg,A - Belk,"https://veda.sav.sk/kniha/kolektiv-autorov-encyclopaedia-beliana-1-a-belk"
"Encyclopaedia Beliana, 2.zväzok",1,beliana_cover.jpg,Bell - Czy,"https://veda.sav.sk/kniha/kolektiv-autorov-encyclopaedia-beliana-2-bell-czy"
"Encyclopaedia Beliana, 3.zväzok",1,beliana_cover.jpg,C - Eg,"https://veda.sav.sk/kniha/kolektiv-autorov-encyclopaedia-beliana-3-c-eg"
"Encyclopaedia Beliana, 4.zväzok",1,beliana_cover.jpg,Eh - Gala,"https://veda.sav.sk/kniha/kolektiv-autorov-encyclopaedia-beliana-4-eh-gala"
"Encyclopaedia Beliana, 5.zväzok",1,beliana_cover.jpg,Galb - Hir,"https://veda.sav.sk/kniha/kolektiv-autorov-encyclopaedia-beliana-5-galb-hir"
"Encyclopaedia Beliana, 6.zväzok",1,beliana_cover.jpg,His - Im,"https://veda.sav.sk/kniha/kolektiv-autorov-encyclopaedia-beliana-6-his-im"
"Encyclopaedia Beliana, 7.zväzok",1,beliana_cover.jpg,In - Kalg,"https://veda.sav.sk/kniha/kolektiv-autorov-encyclopaedia-beliana-7-in-kalg"
