tid,name,field_last,parent,weight
203,R - Rah,rac,202,209
204,Rac - Ras,raš,202,210
205,Raš - Red,ree,202,211
206,Ree - Rek,rel,202,212
207,Rel - Res,reš,202,213
208,Reš - Ria,rib,202,214
209,Rib - Rio,rip,202,215
210,Rip - Roj,rok,202,216
211,Rok - Rot,rou,202,217
212,Rou - Roz,rož,202,218
213,Rož - Run,ruo,202,219
214,Ruo -,s,202,220
215,S,"",0,221
216,S - San,sao,215,222
217,Sao - Sek,sel,215,223
218,Sel - Sch,si_,215,224
219,Si_ - Sio,sip,215,225
220,Sip - Sli,sln,215,226
221,Sln - Sno,snp,215,227
222,Snp - Spa,spd,215,228
223,Spd - Srd,sre,215,229
224,Sre - Stl,stm,215,230
225,Stm - Stu,stv,215,231
226,Stv - Sva,sve,215,232
227,Sve -,š,215,233
228,Š,"",0,234
229,Š - Šat,šav,228,235
230,Šav - Šim,šin,228,236
231,Šin - Ško,škr,228,237
232,Škr - Špa,špe,228,238
233,Špe - Šta,štb,228,239
234,Štb - Šti,što,228,240
235,Što - Šty,šu,228,241
236,Šu -,t,228,242
237,T,"",0,243
238,T - Tan,tao,237,244
239,Tao - Ted,tee,237,245
240,Tee - Ten,teo,237,246
241,Teo - Ter,tes,237,247
242,Tes - Tho,thr,237,248
243,Thr - Tit,tiu,237,249
244,Tiu - Ton,too,237,250
245,Too - Tra,trb,237,251
246,Trb - Tre,trg,237,252
247,Trg - Tro,trp,237,253
248,Trp - Tur,tus,237,254
249,Tus -,u,237,255
250,U,"",0,256
251,U - Uhl,uho,250,257
252,Uho - Uli,ulj,250,258
253,Ulj - Una,unb,250,259
254,Unb - Upr,upu,250,260
255,Upu - Urv,urx,250,261
256,Urx - Ute,uth,250,262
257,Uth -,v,250,263
258,V,"",0,264
259,V - Van,vap,258,265
260,Vap - Vče,vči,258,266
261,Vči - Vel,vem,258,267
262,Vem - Ver,ves,258,268
263,Ves - Vig,vih,258,269
264,Vih - Vit,viv,258,270
265,Viv - Vnu,voa,258,271
266,Voa - Vol,vom,258,272
267,Vom - Vrš,vrt,258,273
268,Vrt - Vyc,vyi,258,274
269,Vyi - Vys,vyš,258,275
270,Vyš -,w,258,276
271,W,"",0,277
272,W - Wan,wap,271,278
273,Wap - Wed,wee,271,279
274,Wee - Wes,weš,271,280
275,Weš - Wil,wim,271,281
276,Wim - Wol,won,271,282
277,Won -,x,271,283
278,X,"",0,284
279,X - Xen,xer,278,285
280,Xer - Xer,xho,278,286
281,Xho - Xoa,xoc,278,287
282,Xoc -,y,278,288
283,Y,"",0,289
284,Y - Yap,yar,283,290
285,Yar - Yil,yin,283,291
286,Yin - Yov,ype,283,292
287,Ype -,z,283,293
288,Z,"",0,294
289,Z - Zak,zal,288,295
290,Zal - Zan,zao,288,296
291,Zao - Zar,zas,288,297
292,Zas - Zav,zaw,288,298
293,Zaw - Zek,zel,288,299
294,Zel - Zia,zib,288,300
295,Zib - Zlo,zlu,288,301
296,Zlu - Zol,zom,288,302
297,Zom - Zub,zuc,288,303
298,Zuc -,ž,288,304
299,Ž,"",0,305
300,Ž - Žel,žem,299,306
301,Žem - Žia,žib,299,307
302,Žib - Žin,žip,299,308
303,Žip - Živ,žiž,299,309
304,Žiž -,žžž,299,310
305,CH,"",0,102
306,Ch - Chd,che,305,103
307,Che - Chh,chi,305,104
308,Chi - Chn,cho,305,105
309,Cho - Cht,chu,305,106
310,Chu -,i,305,107
