title,link,menu_name,weight
"Slovenská akadémia vied","http://www.sav.sk",secondary,0
"Encyklopedický ústav SAV","http://www.encyclopaedia.sk",secondary,2
"Kontakt","http://www.encyclopaedia.sk/index.php?option=com_content&view=article&id=6&Itemid=4",secondary,4
"Domovská stránka","internal:/",main,-90
"Abecedný zoznam","internal:/abecedny-zoznam",main,-80
"O encyklopédii Beliane","internal:/",main,-60
"Technický prevádzkovateľ","internal:/",main,-50
"Vyhlásenie o prístupnosti","internal:/",main,-40
